data_origin,date,terms,counts,scaled_counts,total_tokens,title
Computers and the Humanities,1991-10-01,tool,12,0.3194076112712093,87670,Computers and the Humanities
Computers and the Humanities,1991-12-01,infrastructure,0,0.0,139752,Computers and the Humanities
Computers and the Humanities,1991-12-01,tool,23,0.750546620715574,139752,Computers and the Humanities
Computers and the Humanities,1992-02-01,infrastructure,0,0.0,81976,Computers and the Humanities
Computers and the Humanities,1992-02-01,tool,16,0.6083699352968047,81976,Computers and the Humanities
Computers and the Humanities,1992-04-01,infrastructure,0,0.0,55806,Computers and the Humanities
Computers and the Humanities,1992-04-01,tool,6,0.2754884985485964,55806,Computers and the Humanities
Computers and the Humanities,1992-06-01,infrastructure,0,0.0,81980,Computers and the Humanities
Computers and the Humanities,1992-06-01,tool,3,0.16290250293511063,81980,Computers and the Humanities
Computers and the Humanities,1992-08-01,infrastructure,0,0.0,108558,Computers and the Humanities
Computers and the Humanities,1992-08-01,tool,21,0.4329258683316406,108558,Computers and the Humanities
Computers and the Humanities,1992-12-01,infrastructure,0,0.0,163600,Computers and the Humanities
Computers and the Humanities,1992-12-01,tool,6,0.10214840408012821,163600,Computers and the Humanities
Computers and the Humanities,1993-01-01,infrastructure,1,0.014543339150668994,434434,Computers and the Humanities
Computers and the Humanities,1993-01-01,tool,70,2.079203994037594,434434,Computers and the Humanities
Computers and the Humanities,1994-01-01,infrastructure,0,0.0,363664,Computers and the Humanities
Computers and the Humanities,1994-01-01,tool,50,1.2148178648299728,363664,Computers and the Humanities
Computers and the Humanities,1994-04-01,infrastructure,0,0.0,50094,Computers and the Humanities
Computers and the Humanities,1994-04-01,tool,4,0.08161566303625065,50094,Computers and the Humanities
Computers and the Humanities,1995-01-01,infrastructure,0,0.0,237696,Computers and the Humanities
Computers and the Humanities,1995-01-01,tool,7,0.09830803755775602,237696,Computers and the Humanities
Computers and the Humanities,1995-08-01,infrastructure,0,0.0,80684,Computers and the Humanities
Computers and the Humanities,1995-08-01,tool,10,0.2088006582107647,80684,Computers and the Humanities
Computers and the Humanities,1995-10-01,infrastructure,1,0.0066286623359406065,92296,Computers and the Humanities
Computers and the Humanities,1995-10-01,tool,3,0.027142403300681316,92296,Computers and the Humanities
Computers and the Humanities,1995-12-01,infrastructure,0,0.0,89810,Computers and the Humanities
Computers and the Humanities,1995-12-01,tool,6,0.23285737537722898,89810,Computers and the Humanities
Computers and the Humanities,1996-01-01,infrastructure,1,0.008907892392659897,454202,Computers and the Humanities
Computers and the Humanities,1996-01-01,tool,49,1.0885557132888055,454202,Computers and the Humanities
Computers and the Humanities,1997-01-01,infrastructure,1,0.01518141794443601,381866,Computers and the Humanities
Computers and the Humanities,1997-01-01,tool,41,0.599244631638184,381866,Computers and the Humanities
Computers and the Humanities,1998-01-01,infrastructure,10,0.20088800030150203,340872,Computers and the Humanities
Computers and the Humanities,1998-01-01,tool,24,0.34943031214214226,340872,Computers and the Humanities
Computers and the Humanities,1999-01-01,infrastructure,0,0.0,41444,Computers and the Humanities
Computers and the Humanities,1999-01-01,tool,5,0.0943204831800993,41444,Computers and the Humanities
Computers and the Humanities,1999-04-01,infrastructure,2,0.034273547185732986,166812,Computers and the Humanities
Computers and the Humanities,1999-04-01,tool,4,0.11365568921906666,166812,Computers and the Humanities
Computers and the Humanities,1999-12-01,infrastructure,1,0.008819119851838787,101150,Computers and the Humanities
Computers and the Humanities,1999-12-01,tool,10,0.2372320503089195,101150,Computers and the Humanities
Computers and the Humanities,2000-04-01,infrastructure,1,0.01401541695865452,118014,Computers and the Humanities
Computers and the Humanities,2000-04-01,tool,0,0.0,118014,Computers and the Humanities
Computers and the Humanities,2000-08-01,infrastructure,3,0.04746362683217324,93424,Computers and the Humanities
Computers and the Humanities,2000-08-01,tool,1,0.01515840533575868,93424,Computers and the Humanities
Computers and the Humanities,2000-12-01,infrastructure,0,0.0,36826,Computers and the Humanities
Computers and the Humanities,2000-12-01,tool,5,0.07904018374995164,36826,Computers and the Humanities
Computers and the Humanities,2001-02-01,infrastructure,0,0.0,31240,Computers and the Humanities
Computers and the Humanities,2001-02-01,tool,0,0.0,31240,Computers and the Humanities
Computers and the Humanities,2001-05-01,infrastructure,0,0.0,82556,Computers and the Humanities
Computers and the Humanities,2001-05-01,tool,20,0.2706310817983057,82556,Computers and the Humanities
