commit_author_name,commit_author_date,stats_total,stats_additions,stats_deletions
JR Ladd,2020-10-15 23:10:20+00:00,65,30,35
JR Ladd,2020-10-15 01:21:12+00:00,628,68,560
JR Ladd,2019-08-30 14:15:53+00:00,2,1,1
JR Ladd,2019-08-30 14:13:05+00:00,2,1,1
Matthew Lincoln,2019-08-29 21:56:05+00:00,2,1,1
JR Ladd,2018-03-31 21:40:01+00:00,1,1,0
JR Ladd,2018-03-31 21:38:40+00:00,13,4,9
JR Ladd,2018-01-23 19:51:02+00:00,5,4,1
JR Ladd,2018-01-16 16:12:13+00:00,1143,0,1143
JR Ladd,2018-01-15 19:25:47+00:00,175,114,61
JR Ladd,2018-01-12 20:00:15+00:00,2,1,1
JR Ladd,2018-01-12 19:16:03+00:00,63,52,11
JR Ladd,2018-01-11 22:47:52+00:00,30,29,1
JR Ladd,2018-01-11 20:29:04+00:00,23,16,7
JR Ladd,2018-01-11 20:15:57+00:00,60,49,11
JR Ladd,2018-01-11 18:49:25+00:00,28,26,2
JR Ladd,2017-08-29 03:20:17+00:00,1,1,0
JR Ladd,2017-08-29 03:17:01+00:00,4,3,1
JR Ladd,2017-08-29 03:14:15+00:00,39,32,7
JR Ladd,2017-08-10 03:12:41+00:00,57,42,15
JR Ladd,2017-08-09 03:19:18+00:00,1728,1728,0
