commit_author_name,commit_author_date,value,type
JR Ladd,2021-02-04 21:05:48+00:00,104,additions
JR Ladd,2021-02-02 22:40:14+00:00,6,additions
ZoeLeBlanc,2021-02-02 19:53:15+00:00,0,additions
ZoeLeBlanc,2021-02-02 19:53:10+00:00,28,additions
ZoeLeBlanc,2021-02-02 19:52:18+00:00,7,additions
JR Ladd,2021-02-01 23:58:06+00:00,29,additions
ZoeLeBlanc,2021-01-27 16:57:29+00:00,120,additions
ZoeLeBlanc,2021-01-26 21:13:37+00:00,88,additions
ZoeLeBlanc,2021-01-26 16:46:42+00:00,6,additions
ZoeLeBlanc,2021-01-26 16:45:52+00:00,32,additions
JR Ladd,2021-01-14 22:37:47+00:00,2,additions
JR Ladd,2021-01-14 22:29:16+00:00,2,additions
JR Ladd,2021-01-14 22:26:25+00:00,3,additions
JR Ladd,2021-01-04 23:17:29+00:00,2,additions
JR Ladd,2021-01-04 22:43:22+00:00,18,additions
JR Ladd,2020-12-31 17:54:51+00:00,14,additions
JR Ladd,2020-12-31 17:15:05+00:00,17,additions
JR Ladd,2020-12-30 17:34:23+00:00,79,additions
JR Ladd,2020-12-30 17:31:31+00:00,1,additions
JR Ladd,2020-12-23 17:13:47+00:00,9,additions
JR Ladd,2020-12-23 16:53:53+00:00,17,additions
JR Ladd,2020-12-22 23:01:18+00:00,9,additions
JR Ladd,2020-12-22 22:55:34+00:00,41,additions
JR Ladd,2020-12-22 22:09:53+00:00,3,additions
JR Ladd,2020-12-22 21:45:22+00:00,1,additions
ZoeLeBlanc,2020-12-21 19:54:13+00:00,594,additions
ZoeLeBlanc,2020-12-21 19:53:34+00:00,4,additions
ZoeLeBlanc,2020-12-21 19:52:11+00:00,2,additions
ZoeLeBlanc,2020-12-21 19:50:09+00:00,1,additions
ZoeLeBlanc,2020-12-17 17:41:09+00:00,21,additions
ZoeLeBlanc,2020-12-16 23:00:15+00:00,81,additions
ZoeLeBlanc,2020-12-16 20:29:13+00:00,2,additions
ZoeLeBlanc,2020-12-16 20:08:59+00:00,320,additions
ZoeLeBlanc,2020-12-11 17:14:00+00:00,0,additions
ZoeLeBlanc,2020-12-11 17:13:56+00:00,175,additions
JR Ladd,2020-12-08 21:34:27+00:00,48,additions
ZoeLeBlanc,2020-12-08 16:14:41+00:00,136,additions
ZoeLeBlanc,2020-12-04 18:27:45+00:00,8,additions
ZoeLeBlanc,2020-12-03 21:37:53+00:00,139,additions
JR Ladd,2020-12-02 00:10:23+00:00,17,additions
JR Ladd,2020-12-01 23:09:28+00:00,32,additions
JR Ladd,2020-12-01 21:48:14+00:00,541,additions
JR Ladd,2020-12-01 21:45:29+00:00,820,additions
JR Ladd,2020-12-01 21:44:44+00:00,820,additions
JR Ladd,2020-12-01 21:43:32+00:00,1093,additions
JR Ladd,2020-12-01 21:39:58+00:00,30,additions
ZoeLeBlanc,2020-12-01 21:19:13+00:00,1,additions
ZoeLeBlanc,2020-11-30 16:22:01+00:00,322,additions
ZoeLeBlanc,2020-11-24 23:43:05+00:00,78,additions
ZoeLeBlanc,2020-11-24 23:32:34+00:00,222,additions
JR Ladd,2020-11-24 23:04:42+00:00,78,additions
ZoeLeBlanc,2020-11-17 21:20:19+00:00,0,additions
ZoeLeBlanc,2020-11-17 21:20:15+00:00,166,additions
JR Ladd,2020-11-17 21:19:08+00:00,115,additions
JR Ladd,2020-11-13 17:25:34+00:00,4,additions
